512783920,127,395  ,459 ,854
513619629,1  ,245  ,395 ,641
513386635,0  ,564  ,361 ,925
513673929,64 ,282  ,431 ,713
514286581,65 ,308  ,596 ,905
514333331,32 ,319  ,639 ,958
514423711,33 ,336  ,328 ,664
515176150,17 ,440  ,324 ,764
515150427,34 ,523  ,363 ,886
515224240,67 ,633  ,380 ,1014
515308450,18 ,1381 ,351 ,1732
515025347,66 ,1839 ,691 ,2530
515966009,19 ,1203 ,492 ,1695
515791396,41 ,1362 ,936 ,2299
517271664,4  ,485  ,675 ,1161
517035767,43 ,797  ,705 ,1502
517226674,37 ,1126 ,429 ,1555
518116676,95 ,386  ,501 ,887
516961027,69 ,1506 ,753 ,2260
518518375,91 ,417  ,420 ,837
515975332,49 ,2933 ,568 ,3502
516062899,50 ,3702 ,389 ,4092
518463545,114,1516 ,367 ,1883
518454682,5  ,788  ,1218,2007
518548995,55 ,795  ,1312,2107
518986961,115,1015 ,945 ,1960
515609699,16 ,4272 ,1216,5489
516172172,2  ,4385 ,1409,5795
520180890,8  ,1509 ,1000,2510
521103075,123,1025 ,656 ,1682
521076625,31 ,550  ,1477,2027
516206832,42 ,6616 ,310 ,6926
521044725,60 ,1128 ,1037,2166
519721550,57 ,2035 ,1546,3581
520951672,119,870  ,1614,2485
521793311,121,1499 ,401 ,1901
516268285,68 ,7503 ,389 ,7892
521769331,80 ,1699 ,773 ,2473
516335835,51 ,7662 ,368 ,8031
517042897,3  ,7383 ,351 ,7734
516361031,20 ,8250 ,354 ,8605
516399908,38 ,8408 ,354 ,8762
517064517,21 ,7953 ,458 ,8411
521273418,124,2390 ,1874,4264
521589961,126,2163 ,1841,4004
517115140,52 ,8097 ,443 ,8541
517162047,39 ,8038 ,603 ,8641
517369354,98 ,8240 ,372 ,8612
517376404,35 ,8266 ,380 ,8647
517523173,40 ,8338 ,366 ,8705
517549693,70 ,8414 ,338 ,8752
517571037,53 ,8604 ,367 ,8971
517345384,44 ,8154 ,1165,9319
517646620,112,9241 ,343 ,9585
517572470,113,8993 ,748 ,9742
517672933,84 ,9162 ,913 ,10075
517577687,22 ,9104 ,1539,10643
517729073,36 ,10346,369 ,10716
517584620,105,9520 ,1406,10926
517678286,23 ,9663 ,1374,11037
517857219,106,12646,382 ,13028
517783376,54 ,12881,350 ,13232
517825763,92 ,12868,1494,14363
517998123,99 ,14077,383 ,14461
517965406,24 ,13522,1478,15001
518572938,96 ,14661,420 ,15082
518727275,100,14544,420 ,14964
518734305,107,14972,360 ,15333
518026759,71 ,14971,1180,16152
518559912,45 ,14525,1234,15760
518751622,72 ,15279,473 ,15752
518763005,25 ,15521,1010,16531
518807692,73 ,15769,969 ,16739
518822228,56 ,15774,1003,16778
518825068,85 ,16027,798 ,16826
518873005,93 ,16237,591 ,16828
519024788,94 ,16398,409 ,16808
518841715,97 ,16232,883 ,17115
519101731,108,16612,474 ,17086
519021065,101,16815,467 ,17282
519019281,26 ,16694,726 ,17421
519219738,46 ,16964,362 ,17326
519193121,6  ,17039,428 ,17467
519260397,74 ,17695,361 ,18056
519351084,116,17744,280 ,18024
519378287,27 ,18007,415 ,18423
519245744,88 ,17480,1177,18657
519383174,86 ,18176,931 ,19108
519573361,89 ,18794,392 ,19187
519498987,47 ,18419,932 ,19352
519526414,102,18932,438 ,19371
519446534,109,18409,1106,19516
519574084,12 ,19209,645 ,19854
519579261,75 ,19309,652 ,19961
519601067,87 ,19419,644 ,20064
519792740,110,20166,357 ,20523
519789364,103,20281,317 ,20598
519931523,76 ,20751,271 ,21022
519911217,13 ,20820,370 ,21191
519752100,28 ,19591,1858,21450
519763420,48 ,19753,1807,21561
520365850,58 ,21825,291 ,22116
519954167,90 ,21716,914 ,22631
520369976,117,22000,629 ,22630
520510453,111,23027,296 ,23323
520526516,77 ,23066,288 ,23355
520390943,29 ,22370,1215,23585
520486076,14 ,22462,1196,23658
520423426,104,22698,1083,23781
520689462,118,23122,538 ,23660
520683006,59 ,23328,665 ,23993
520564563,7  ,23691,593 ,24285
520714079,30 ,23770,617 ,24387
520862015,78 ,24070,331 ,24401
520823599,15 ,23301,1209,24510
521194695,125,24298,315 ,24614
520928622,11 ,24146,777 ,24923
521126655,9  ,24053,723 ,24776
521173109,10 ,24197,645 ,24843
521311998,79 ,24133,659 ,24792
521338868,62 ,24983,295 ,25278
521463285,81 ,24409,865 ,25274
521631864,82 ,24921,287 ,25209
521453841,120,25000,461 ,25461
521611774,61 ,24869,510 ,25379
521979184,122,25068,307 ,25375
521647878,63 ,25045,788 ,25834
521948767,83 ,25048,601 ,25650
