127,68513 ,643,69156
95 ,103436,650,104086
81 ,100369,591,100960
63 ,106801,570,107371
31 ,107478,665,108143
15 ,113641,797,114438
80 ,112613,605,113218
33 ,113192,354,113546
47 ,116036,649,116685
48 ,115892,668,116560
16 ,118182,638,118820
24 ,122723,690,123413
126,125155,616,125771
65 ,109461,595,110056
109,131309,657,131966
64 ,135361,631,135992
51 ,139884,624,140508
44 ,144801,338,145139
113,164201,594,164795
52 ,170305,647,170952
29 ,182004,636,182640
35 ,187240,362,187602
41 ,188853,600,189453
49 ,192632,609,193241
37 ,193500,614,194114
50 ,211196,664,211860
117,210679,576,211255
40 ,222849,592,223441
66 ,223670,619,224289
34 ,223319,602,223921
119,228774,643,229417
121,218896,641,219537
55 ,224419,657,225076
54 ,227570,604,228174
59 ,235083,365,235448
25 ,244819,681,245500
53 ,242380,640,243020
56 ,247979,603,248582
57 ,248756,604,249360
100,252558,625,253183
107,262088,603,262691
97 ,265805,684,266489
17 ,285543,653,286196
98 ,289678,602,290280
58 ,298773,623,299396
96 ,299133,619,299752
101,302475,571,303046
106,301138,596,301734
105,318379,671,319050
99 ,320612,617,321229
104,325328,703,326031
102,326513,656,327169
19 ,321947,639,322586
103,330294,354,330648
20 ,327438,645,328083
79 ,361524,641,362165
1  ,350822,675,351497
3  ,357778,629,358407
21 ,359000,687,359687
108,364348,652,365000
11 ,366582,369,366951
7  ,370421,580,371001
0  ,373535,565,374100
5  ,379174,662,379836
9  ,386251,604,386855
22 ,392952,628,393580
18 ,399381,633,400014
2  ,402257,503,402760
13 ,404600,592,405192
67 ,412503,333,412836
60 ,416084,526,416610
6  ,418073,601,418674
4  ,421954,540,422494
26 ,427908,544,428452
28 ,437128,504,437632
10 ,442350,462,442812
8  ,450092,502,450594
73 ,459058,472,459530
12 ,460662,587,461249
83 ,456503,382,456885
70 ,464506,501,465007
14 ,465809,634,466443
82 ,472349,590,472939
30 ,481436,502,481938
62 ,479608,538,480146
75 ,489132,555,489687
68 ,494897,575,495472
78 ,494658,342,495000
61 ,519302,493,519795
69 ,499831,546,500377
76 ,511116,560,511676
27 ,524806,462,525268
71 ,524836,529,525365
74 ,524552,691,525243
85 ,522991,540,523531
84 ,529913,718,530631
77 ,534614,505,535119
72 ,537198,508,537706
88 ,542009,572,542581
89 ,544076,551,544627
86 ,547710,558,548268
32 ,585196,679,585875
87 ,554017,595,554612
93 ,558565,503,559068
91 ,560181,524,560705
90 ,567248,638,567886
118,586517,572,587089
94 ,586731,592,587323
36 ,588941,503,589444
92 ,589982,485,590467
112,594084,489,594573
110,596663,494,597157
38 ,609749,498,610247
114,613735,535,614270
39 ,614104,595,614699
111,618550,483,619033
23 ,652398,541,652939
43 ,622532,545,623077
122,635914,581,636495
123,640949,550,641499
45 ,641447,591,642038
125,647767,472,648239
46 ,652288,523,652811
116,652995,557,653552
124,665085,500,665585
120,668316,477,668793
42 ,671301,552,671853
115,673619,486,674105
